timestamp,power_mW
1746601964.9694874,15209
1746601964.9847333,15209
1746601965.0005093,15209
1746601965.0171056,15209
1746601965.0318203,15209
1746601965.0478528,15209
1746601965.0629945,15226
1746601965.0787306,15226
1746601965.0942109,15226
1746601965.1093106,15226
1746601965.1256192,15226
1746601965.140798,15226
1746601965.1562538,15120
1746601965.1714833,15120
1746601965.1868377,15120
1746601965.2025344,15120
1746601965.2175946,15120
1746601965.2334864,15120
1746601965.2491474,15120
1746601965.2646985,15103
1746601965.2797203,15103
1746601965.2951593,15103
1746601965.31077,15103
1746601965.3266394,15103
1746601965.342141,15103
1746601965.357565,15031
1746601965.373119,15031
1746601965.389023,15031
1746601965.4046557,15031
1746601965.4207027,15031
1746601965.4360309,15031
1746601965.4519377,15031
1746601965.4674685,15005
1746601965.48279,15005
1746601965.4988325,15005
1746601965.5145931,15005
1746601965.529797,15005
1746601965.545509,15005
1746601965.5606554,14933
1746601965.5759037,14933
1746601965.591906,14933
1746601965.6082754,14933
1746601965.6229007,14933
1746601965.6380787,14933
1746601965.6540124,14892
1746601965.6689372,14892
1746601965.6845796,14892
1746601965.7006526,14892
1746601965.7163112,14892
1746601965.7321467,14892
1746601965.7471871,14892
1746601965.762525,14845
1746601965.7786202,14845
1746601965.7937481,14845
1746601965.8095887,14845
1746601965.8247006,14845
1746601965.8401883,14845
1746601965.8556445,14814
1746601965.871114,14814
